Tanggal,suhu,kelembapan,curah hujan,kecepatan angin harian
2019-02-12,26.1,79,0,2
2019-02-13,27.4,82,0,2
2019-02-14,27.6,86,0,3
2019-02-15,27.5,85,8888,3
2019-02-16,27.4,86,0,2
2019-02-17,27.8,88,0,3
2019-02-18,26.6,82,5,2
2019-02-19,27.4,84,0,3
2019-02-20,27.1,87,0,2
2019-02-21,27.4,89,0,3
2019-02-22,27.2,86,0,2
2019-02-23,28.2,86,0,2
2019-02-24,27.6,87,0,2
2019-02-25,27.7,86,0,3
2019-02-26,27.9,84,0,2
2019-02-27,28.1,86,0,3
2019-02-28,27.5,88,0,2
2019-03-01,28.2,84,0,3
2019-03-02,27.8,86,0,3
2019-03-03,27.9,88,0,4
2019-03-04,28,85,0,3
2019-03-05,27.7,86,0,3
2019-03-06,28,84,0.2,3
2019-03-07,27.4,84,0,3
2019-03-08,28.1,82,0,3
2019-03-09,27.6,83,0,3
2019-03-10,27.7,86,0,2
2019-03-11,27.6,82,8888,3
2019-03-12,27.8,87,24.3,2
2019-03-13,28.3,86,0,3
2019-03-14,27.4,90,23.9,2
2019-03-15,27.8,85,1,2
2019-03-16,28.3,81,0,3
2019-03-17,28,85,0,2
2019-03-18,28.3,80,0,3
2019-03-19,27.9,86,0,3
2019-03-20,28.2,84,8888,3
2019-03-21,26.6,92,0,2
2019-03-22,27.4,83,7.5,3
2019-03-23,27.5,85,0,3
2019-03-24,28,82,0,4
2019-03-25,26.7,92,0,2
2019-03-26,27.8,84,3.8,2
2019-03-27,24.9,96,0,2
2019-03-28,27.9,85,46.4,2
2019-03-29,28.3,81,0,3
2019-03-30,27.6,88,0,3
2019-03-31,27.5,87,0,3
2019-04-01,26.1,92,0,2
2019-04-02,27,82,0.2,3
2019-04-03,28.2,86,0,3
2019-04-04,28.2,86,1.2,4
2019-04-05,27.5,83,2.3,4
2019-04-06,27.3,84,0,2
2019-04-07,28.4,84,0,2
2019-04-08,28.5,84,0,3
2019-04-09,28.5,88,0,4
